axis,id,title,author,base_rank,large_rank,rank_change,absolute_rank_change
realism,bel-canto-ann-patchett,Bel Canto,Ann Patchett,393.0,80.0,-313.0,313.0
realism,ispășire-ian-mcewan,Ispășire,Ian McEwan,58.0,354.0,296.0,296.0
realism,tunelul-ernesto-sabato,Tunelul,Ernesto Sabato,343.0,66.0,-277.0,277.0
realism,elevul-dima-dintr-a-șaptea-mihail-drumeș,Elevul Dima dintr-a șaptea,Mihail Drumeș,107.0,376.0,269.0,269.0
realism,gluma-milan-kundera,Gluma,Milan Kundera,41.0,308.0,267.0,267.0
realism,insuportabila-ușurătate-a-ființei-milan-kundera,Insuportabila ușurătate a ființei,Milan Kundera,11.0,278.0,267.0,267.0
realism,doamna-bovary-gustave-flaubert,Doamna Bovary,Gustave Flaubert,89.0,352.0,263.0,263.0
realism,totul-se-destramă-chinua-achebe,Totul se destramă,Chinua Achebe,82.0,342.0,260.0,260.0
realism,psalm-pentru-cei-construiți-în-sălbăticie-becky-chambers,Psalm pentru cei construiți în sălbăticie,Becky Chambers,281.0,27.0,-254.0,254.0
ambiguity,gabriela-cuișoare-și-scorțișoară-jorge-amado,"Gabriela, cuișoare și scorțișoară",Jorge Amado,41.0,378.0,337.0,337.0
ambiguity,îngeri-și-demoni-dan-brown,Îngeri și demoni,Dan Brown,403.0,67.0,-336.0,336.0
ambiguity,dimineață-pierdută-gabriela-adameșteanu,Dimineață pierdută,Gabriela Adameșteanu,92.0,416.0,324.0,324.0
ambiguity,it-stephen-king,It,Stephen King,401.0,78.0,-323.0,323.0
ambiguity,alchimistul-paulo-coelho,Alchimistul,Paulo Coelho,62.0,384.5,322.5,322.5
ambiguity,kim-jiyoung-născută-în-1982-cho-nam-joo,"Kim Jiyoung, născută în 1982",Cho Nam-joo,57.0,375.0,318.0,318.0
ambiguity,cronicile-marțiene-ray-bradbury,Cronicile marțiene,Ray Bradbury,342.0,25.0,-317.0,317.0
ambiguity,cântecul-păsării-de-plajă-tudor-ganea,Cântecul păsării de plajă,Tudor Ganea,51.0,366.0,315.0,315.0
ambiguity,parfumul-patrick-süskind,Parfumul,Patrick Süskind,376.0,61.0,-315.0,315.0
ambiguity,să-nu-lași-moartea-să-te-găsească-bogdan-răileanu,Să nu lași moartea să te găsească,Bogdan Răileanu,106.0,413.0,307.0,307.0
culture,împăratul-muștelor-william-golding,Împăratul muștelor,William Golding,415.0,47.0,-368.0,368.0
culture,free-food-for-millionaires-min-jin-lee,Free Food for Millionaires,Min Jin Lee,397.0,45.0,-352.0,352.0
culture,klara-și-soarele-kazuo-ishiguro,Klara și Soarele,Kazuo Ishiguro,400.0,56.0,-344.0,344.0
culture,taxi-khaled-al-khamissi,Taxi,Khaled Al Khamissi,359.0,20.0,-339.0,339.0
culture,20000-de-leghe-sub-mări-jules-verne,20.000 de leghe sub mări,Jules Verne,382.0,53.0,-329.0,329.0
culture,război-cu-salamandrele-karel-čapek,Război cu salamandrele,Karel Čapek,418.0,90.0,-328.0,328.0
culture,moștenirea-eszterei-sándor-márai,Moștenirea Eszterei,Sándor Márai,61.0,384.0,323.0,323.0
culture,muzeul-secretelor-abandonate-oksana-zabujko,Muzeul secretelor abandonate,Oksana Zabujko,34.0,354.0,320.0,320.0
culture,dezrădăcinații-cătălin-ceaușoglu,Dezrădăcinații,Cătălin Ceaușoglu,4.0,319.0,315.0,315.0
culture,pasărea-cu-piept-roșu-jo-nesbø,Pasărea cu piept roșu,Jo Nesbø,99.0,411.0,312.0,312.0
